Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
2,Tymen,X8,2904.3,69.55960083,10.96420002,2.742199898,2.503999949,271.2901001,1,1
2,Tymen,X8,2904.4,68.9875946,12.1736002,2.778199911,2.509499788,273.8620911,1,1
2,Tymen,X8,2904.5,68.78079987,12.64170074,2.814199924,2.519000053,277.9872131,1,1
2,Tymen,X8,2904.6,70.0348053,13.05889988,2.839599848,2.526000023,282.9204102,1,1
2,Tymen,X8,2904.7,71.2888031,12.8039999,2.819999933,2.515500069,287.726593,1,1
2,Tymen,X8,2904.8,72.5428009,12.19229984,2.789999962,2.507999897,291.7492065,1,1
2,Tymen,X8,2904.9,73.79680634,11.91829967,2.75999999,2.49849987,294.7620239,1,1
2,Tymen,X8,2905,75.16960144,11.54850006,2.730000019,2.493999958,296.7666016,1,1
2,Tymen,X8,2905.1,77.01760101,10.86019993,2.698400021,2.502500057,297.7535095,1,1
2,Tymen,X8,2905.2,78.86560059,10.01130009,2.659999847,2.511000156,297.6547852,1,1
2,Tymen,X8,2905.3,80.71360016,9.647800446,2.619999886,2.515500069,296.4595032,1,1
2,Tymen,X8,2905.4,82.56159973,9.719600677,2.579999924,2.515500069,294.3210754,1,1
3,Tymen,X8,2905.5,84.06200409,10.14229965,2.539999962,2.51850009,291.5429077,1,1
3,Tymen,X8,2905.6,84.17199707,10.16549969,2.505199909,2.52850008,288.4815979,1,1
3,Tymen,X8,2905.7,84.28200531,10.12700081,2.492399931,2.539499998,285.4459839,1,1
3,Tymen,X8,2905.8,84.39199829,10.35160065,2.484400034,2.543499947,282.6598816,1,1
3,Tymen,X8,2905.9,84.5019989,10.76040077,2.476399899,2.542999983,280.3085938,1,1
3,Tymen,X8,2906,84.26439667,10.83269978,2.468400002,2.544499874,278.5732117,1,1
3,Tymen,X8,2906.1,82.63639832,10.82429981,2.460999966,2.536499977,277.6130981,1,1
2,Tymen,X8,2906.2,81.00839996,10.17409992,2.456199884,2.514999866,277.4916992,1,1
2,Tymen,X8,2906.3,79.38039398,9.118299484,2.452199936,2.501999855,278.1306152,1,1
2,Tymen,X8,2906.4,77.75239563,8.757899284,2.448199749,2.505000114,279.3432007,1,1
2,Tymen,X8,2906.5,76.52479553,8.74889946,2.444200039,2.508500099,280.9234924,1,1
2,Tymen,X8,2906.6,76.89880371,8.943599701,2.442399979,2.506999969,282.7005005,1,1
2,Tymen,X8,2906.7,77.27280426,9.141399384,2.450000048,2.509500027,284.5360107,1,1
2,Tymen,X8,2906.8,77.64680481,8.952199936,2.460000038,2.514000177,286.3049011,1,1
2,Tymen,X8,2906.9,78.02079773,9.152199745,2.470000029,2.506999969,287.8912964,1,1
2,Tymen,X8,2907,78.42120361,9.054599762,2.480000019,2.492500067,289.241394,1,1
2,Tymen,X8,2907.1,78.92720032,8.895199776,2.495399952,2.477999926,290.4089966,1,1
